gene_id	1-TCGA-59-A5PD-01A-11R-A406-31	2-TCGA-OY-A56Q-01A-11R-A406-31	2-TCGA-61-2012-01A-01R-1568-13	2-TCGA-24-1556-01A-01R-1566-13	2-TCGA-3P-A9WA-01A-11R-A406-31	2-TCGA-04-1362-01A-01R-1565-13	2-TCGA-09-2044-01B-01R-1568-13	3-TCGA-24-1567-01A-01R-1566-13	3-TCGA-09-1670-01A-01R-1566-13	3-TCGA-23-1027-01A-02R-1564-13	3-TCGA-29-1785-01A-01R-1567-13	3-TCGA-13-1481-01A-01R-1565-13	3-TCGA-13-0916-01A-01R-1564-13	4-TCGA-13-1511-01A-01R-1565-13	4-TCGA-13-1405-01A-01R-1565-13	4-TCGA-24-1417-01A-01R-1565-13	4-TCGA-59-2350-01A-01R-1569-13	4-TCGA-25-2397-01A-01R-1569-13	4-TCGA-23-2084-01A-02R-1568-13
100130426	0	0	0	0	1	2	0	0	0	0	0	0	1.05	1.17	0	0	0	0	0
100133144	49.43	97.1	39.31	359.12	148.74	82.37	68.94	13.16	110.26	66.57	19.34	155.61	188.8	86.02	75.69	21.07	76.96	106.06	112.23
100134869	136.57	84.9	44.69	256.88	125.26	160.63	128.06	63.84	99.74	108.43	52.66	170.39	293.2	130.98	40.31	37.93	179.04	128.94	66.77
10357	115.09	90.87	9.55	28.82	107.39	97	20.97	155.93	17.6	113.8	42.63	112.76	153.66	39.26	64.96	71.85	15	10.8	19
10431	3091	3026	1528	5175	5759	3192	4932	4533	2784	6797	2056	3338	5171	2741	3686	2496	4363	1812	4326
136542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
155060	680	1051	334	841	1315	1030	353	233	545	787	216	745	1645	568	638	669	463	1220	686
26823	2	1	2	10	4	1	2	0	7	0	1	0	8	2	1	1	1	1	2
280660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
317712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
340602	20	1	90	12	2	29	0	12	0	1	0	0	63	0	1	1	12	2	1
388795	87	9	29	14	22	11	7	0	8	0	5	2	1	4	0	1	148	0	0
390284	4	0	0	1	10	3	6	3	1	15	4	3	3	2	2	3	2	2	0
391343	7	1	0	0	0	0	0	1	0	0	3	0	0	0	10	1	4	0	1
391714	6	6	0	8	4	5	0	0	2	1	0	3	3	4	6	0	0	1	0
404770	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
441362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
442388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
553137	4	4	1	6	18	5	3	0	3	0	0	3	5	35	1	1	0	1	4
57714	1161	1510	1122	10414	4255	2221	2130	2847	2563	4280	2185	1137	9567	4140	1473	5762	2891	909	8159
645851	62	36	24	124	73	40	20	10	32	51	9	27	57	129	84	33	50	37	45
652919	133.68	67.72	40	0	135.95	10.44	3.53	177.51	0	15	0	0	28	3	59	32.33	0	0	59
653553	4	28	11	33	20	47	65	19	22	132	8	30	164	56	28	11	12	20	64
728045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
728603	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
728788	20	2	0	4	0	14	0	0	0	0	0	1	0	0	0	0	0	0	0
729884	3	1	3	0	0	1	0	61	0	0	0	0	0	0	0	1	0	1	0
8225	1522	771	746	1998	3322	1787	1358	1419	1373	5721	848	1250	7696	816	1184	2081	803	1177	2349
90288	525	1153	82	586	735	458	23	664	110	137	23	124	513	34	34	103	36	73	97
A1BG	116.33	101.09	445.6	298.13	101.3	125.82	2333.47	537.4	184.19	199	303.88	638.87	973.31	378.2	853.63	416.03	568.52	454.32	232.12
A1CF	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0
A2BP1	1	1018	47	216	2	13	0	1	110	16	2	5	7	6	81	287	424	15	8
