gene_id	1-TCGA-59-A5PD-01A-11R-A406-31	2-TCGA-OY-A56Q-01A-11R-A406-31	2-TCGA-61-2012-01A-01R-1568-13	2-TCGA-24-1556-01A-01R-1566-13	2-TCGA-3P-A9WA-01A-11R-A406-31	2-TCGA-04-1362-01A-01R-1565-13	2-TCGA-09-2044-01B-01R-1568-13	3-TCGA-24-1567-01A-01R-1566-13	3-TCGA-09-1670-01A-01R-1566-13	3-TCGA-23-1027-01A-02R-1564-13	3-TCGA-29-1785-01A-01R-1567-13	3-TCGA-13-1481-01A-01R-1565-13	3-TCGA-13-0916-01A-01R-1564-13	4-TCGA-13-1511-01A-01R-1565-13	4-TCGA-13-1405-01A-01R-1565-13	4-TCGA-24-1417-01A-01R-1565-13	4-TCGA-59-2350-01A-01R-1569-13	4-TCGA-25-2397-01A-01R-1569-13	4-TCGA-23-2084-01A-02R-1568-13
100130426	0	0	0	0.733085	0.145926	1.07382	0	0	0	0	0	0	1.44487	0.789001	0	0	0	0	0
100133144	3.85069	4.58872	3.47181	5.88644	5.0089	4.3953	4.22581	2.72085	4.73676	4.3139	2.90999	5.05376	5.24597	4.46148	4.31324	3.12059	4.38598	4.61181	4.74713
100134869	4.92187	4.43593	3.61928	5.55249	4.85933	5.08531	4.85329	4.16333	4.63176	4.7351	3.88685	5.14394	5.68426	4.88151	3.69212	3.65734	5.19318	4.82906	4.24777
10357	4.73894	4.5106	2.02202	3.55903	4.71096	4.57073	3.04371	5.0558	2.81276	4.77425	3.68377	4.71414	5.04123	3.66568	4.15821	4.29135	2.8288	2.14118	3.12024
10431	8.03657	8.01533	7.33237	8.55179	8.65869	8.06872	8.5037	8.41936	7.932	8.82438	7.629	8.11343	8.55101	7.91644	8.21257	7.82285	8.38114	7.50274	8.37263
136542	0	0	0	0	0	0.145926	0	0	0	0	0	0	0	0	0	0	0.145926	0	0
155060	6.52356	6.95845	5.81413	6.73578	7.18235	6.93828	5.8693	5.45532	6.30262	6.6695	5.3799	6.61473	7.4061	6.34388	6.4599	6.50728	6.13988	7.10743	6.53233
26823	0.574761	0.690404	0.671632	2.63207	1.47833	0.574761	1.03733	0	2.02924	0	0.218889	0	2.63193	1.1705	0.401296	0.611242	0.553421	0.401296	1.22905
280660	0	0	0	0	0	0.145926	0	0	0	0	0	0	0	0	0	0	0.145926	0	0
317712	0	0	0	0	0	0.0364814	0	0	0	0	0	0	0	0	0	0	0.145926	0	0
340602	2.87003	0.291851	4.43155	2.80117	0.733085	3.28644	0	2.61441	0	1.22124	0	0	4.29269	0	0.401296	0.555737	2.60098	0.669064	0.647724
388795	4.41945	2.31843	3.16745	2.97707	3.29163	2.38527	2.09099	0	2.09099	0	1.48495	0.857736	1.41539	1.54816	0	0.564742	5.00395	0	0
390284	1.26516	0	0	1.03733	2.54121	1.11099	1.93835	1.33672	0.611242	2.9485	1.40364	1.40364	1.95891	1.16747	0.979513	1.31489	0.915162	0.733085	0
391343	1.79602	0.25537	0	0	0	0.218889	0	0.574761	0	0	1.07382	0	0	0	2.37127	0.574761	1.62784	0	0.678879
391714	1.68019	1.91857	0	2.45672	1.44187	1.57761	0	0.0364814	1.03733	1.22124	0	1.40364	1.96261	1.55889	2.02924	0	0.145926	0.145926	0
404770	0	0	0	0	0.145926	0.145926	0	0.0364814	0	0	0	0	1.12517	0	0	0	0.145926	0	0
441362	0	0	0	0	0	0.145926	0	0.0364814	0	0	0	0	0	0	0	0	0.145926	0	0
442388	0	0	0	0	0	0.145926	0	0.0364814	0	0	0	0	0	0	0	0	0.145926	0	0
553137	1.31678	1.54538	0.182407	2.29527	3.134	1.57761	1.48495	0.0364814	1.25031	0	0	1.3461	2.20575	3.53807	0.401296	0.574761	0.145926	0.438819	1.70168
57714	7.0579	7.32053	7.02376	9.251	8.35609	7.70616	7.66435	7.95437	7.84932	8.36194	7.68983	7.03703	9.16618	8.32869	7.29574	8.65921	7.9697	6.81344	9.007
645851	4.0776	3.59404	2.93449	4.8241	4.35773	3.64647	3.01528	2.47548	3.47091	4.06923	2.13595	3.23393	4.21254	4.87132	4.42703	3.51085	3.94608	3.47458	3.91858
652919	4.9	4.21831	3.49151	0	4.93087	2.31003	1.51499	5.18464	0	2.96159	0	0	3.66385	1.48495	4.07218	3.50935	0.145926	0	4.14792
653553	1.33269	3.33871	2.19032	3.67831	3.21118	3.80287	4.1768	3.01528	3.09868	4.8951	2.07546	3.32707	5.10595	4.01154	3.30543	2.52008	2.58834	2.82563	4.21664
728045	0	0	0	0	0	0	0	0.0364814	0	0	0	0	0	0	0	0.0364814	0.145926	0	0
728603	1.17921	0	0	0	0	0	0	1.20799	0	0	0	0	0	0	0	0.0364814	0.145926	0	0
728788	2.86557	0.776922	0	1.95245	0	2.58698	0	0.0364814	0	0	0	0.821189	0	0	0	0.0364814	0.145926	0	0
729884	1.03733	0.364814	0.918621	0	0	0.611242	0.145926	4.12721	0	0	0	0	0	0	0	0.611242	0.25537	0.401296	0
8225	7.32844	6.64898	6.61607	7.6004	8.10862	7.48885	7.2145	7.25841	7.22548	8.65207	6.74406	7.1317	8.94859	6.70564	7.0775	7.64108	6.6896	7.07157	7.76217
90288	6.2653	7.05099	4.30919	6.37502	6.60123	6.12905	3.14348	6.49979	4.73418	4.9258	3.07529	4.81424	6.24222	3.50926	3.49357	4.62702	3.65866	4.19489	4.60172
A1BG	4.74381	4.62552	6.10166	5.70088	4.64769	4.8336	7.75554	6.2886	5.22138	5.29832	5.71992	6.46127	6.88173	5.93806	6.75067	6.03316	6.34479	6.121	5.45155
A1CF	0	0	0	0	0	0.574761	0.145926	0.0364814	0.553421	0	0	0	0	0	0	0.0364814	0.264966	0	0
A2BP1	0.0364814	6.92658	3.68712	5.3799	0.733085	2.53652	0.145926	0.574761	4.73506	3.00031	0.669064	1.75558	2.50157	1.86906	4.38644	5.66296	6.05209	2.49344	2.37566
