gene_id	pval
MRS2	5.14E-11
ZNF429	1.96E-08
TDP2	2.53E-07
CXCL11	4.31E-07
GPR27	1.21E-06
MED19	1.76E-06
C18orf21	1.81E-06
ACOT13	2.53E-06
UBE2L3	3.82E-06
KLHDC9	4.20E-06
AP1S2	5.53E-06
MAGOHB	5.56E-06
AADAC	5.58E-06
FMC1	5.63E-06
FAM166B	6.20E-06
ZNF85	6.45E-06
PRR3	6.49E-06
UBE2T	6.90E-06
CCDC160	7.62E-06
SNRPD1	7.90E-06
ZNF93	9.31E-06
GLRX5	1.08E-05
CXCL10	1.12E-05
ZSCAN16	1.14E-05
CAAP1	1.27E-05
NARS2	1.39E-05
CACYBP	1.39E-05
IGFLR1	1.59E-05
ISG20	1.85E-05
TPGS2	1.93E-05
DCTN3	2.10E-05
TPM3	2.39E-05
HOMEZ	2.41E-05
TAF13	2.42E-05
PLPP5	2.42E-05
DCAF12	2.81E-05
UTP4	2.88E-05
THOC1	2.89E-05
PRIM2	3.00E-05
ORMDL1	3.04E-05
ST7L	3.04E-05
ZNF43	3.16E-05
MPHOSPH6	3.41E-05
NOL7	3.64E-05
RWDD2A	3.82E-05
CCAR1	4.05E-05
HLA-DOB	4.17E-05
ZNF714	4.27E-05
LPAR3	4.31E-05
ZNF184	4.41E-05
EIF4E3	4.64E-05
TBC1D7	4.98E-05
C1orf115	5.12E-05
RABIF	5.64E-05
PPM1G	6.08E-05
TERF2IP	6.14E-05
TXNL1	6.26E-05
HGSNAT	6.33E-05
TIMM9	6.39E-05
PRSS16	6.46E-05
ZNF121	6.59E-05
AMMECR1	6.62E-05
FBXO16	6.70E-05
PSMA2	6.73E-05
NT5M	8.42E-05
FAM177A1	8.51E-05
DNAJC19	8.53E-05
RPL22L1	8.60E-05
SNRPA1	8.83E-05
TRIM38	8.95E-05
DPM3	8.97E-05
GBP4	9.29E-05
BATF2	9.39E-05
DCUN1D5	9.52E-05
HMGB3	9.85E-05
LRRC28	9.97E-05
PFDN6	1.01E-04
HSPA1L	1.02E-04
HPDL	1.03E-04
PSMB5	1.08E-04
CALR	1.10E-04
MAP3K13	1.11E-04
MESD	1.12E-04
MBIP	1.14E-04
ZNF76	1.18E-04
PPIL3	1.19E-04
HNRNPC	1.19E-04
HIBCH	1.22E-04
RNASEH2A	1.22E-04
SCNM1	1.23E-04
GBP5	1.24E-04
CASP8	1.25E-04
SMU1	1.25E-04
LEMD1	1.26E-04
ZNF561	1.31E-04
SMUG1	1.31E-04
LSM4	1.34E-04
MRPL3	1.36E-04
PTPN2	1.37E-04
SRSF3	1.37E-04
TRIP13	1.39E-04
TPMT	1.41E-04
SPATS2	1.44E-04
LMO4	1.47E-04
ORC6	1.48E-04
FBXO9	1.51E-04
HAUS1	1.55E-04
MARC9	1.59E-04
CNOT4	1.61E-04
LIPT2	1.63E-04
UBR2	1.65E-04
HINT2	1.66E-04
NUDT14	1.66E-04
E2F3	1.69E-04
SUPT3H	1.72E-04
LRIF1	1.73E-04
STAT1	1.75E-04
MT-ND4	1.76E-04
SLC7A11	1.77E-04
BTN3A3	1.80E-04
SELENOH	1.80E-04
ABT1	1.89E-04
LANCL2	1.89E-04
ZNF391	1.89E-04
WARS	1.94E-04
RPL39L	1.94E-04
ACSM3	1.97E-04
NUCB2	1.98E-04
CMBL	1.99E-04
CXCR4	2.05E-04
ZNF257	2.05E-04
GMPR	2.06E-04
PACSIN3	2.09E-04
ZNF165	2.10E-04
CSPG5	2.14E-04
TRA2B	2.15E-04
KIAA1324	2.16E-04
DONSON	2.17E-04
HMGCS2	2.17E-04
ZNF253	2.19E-04
BLOC1S1	2.19E-04
TSPAN13	2.20E-04
EXOSC4	2.23E-04
ZNF101	2.26E-04
ZNF738	2.27E-04
NLRC5	2.30E-04
TOMM5	2.37E-04
TSTA3	2.41E-04
EMC9	2.43E-04
RNF5	2.44E-04
RANBP9	2.47E-04
CENPH	2.50E-04
SEM1	2.52E-04
ANAPC15	2.55E-04
ADRA1B	2.67E-04
GPM6B	2.67E-04
RTL8A	2.71E-04
SMIM10L1	2.71E-04
TFAM	2.74E-04
METTL3	2.78E-04
KYAT3	2.80E-04
MAGED2	2.88E-04
CASP2	2.89E-04
STMP1	2.95E-04
