gene_id	transcript_id
100130426	uc011lsn.1
100133144	"uc010unu.1,uc010uoa.1"
100134869	"uc002bgz.2,uc002bic.2"
10357	uc010zzl.1
10431	"uc001jiu.2,uc010qhg.1"
136542	uc011krn.1
155060	"uc003wfr.3,uc003wft.3,uc003wfu.2,uc011kup.1"
26823	uc011mlh.1
280660	uc010nib.1
317712	uc010ihw.1
340602	uc004dpj.2
388795	uc010zub.1
390284	uc001qoa.2
391343	"uc010ewg.2,uc010ewh.1"
391714	uc011cjl.1
404770	uc010mpu.1
441362	"uc003ydl.1,uc010mgi.2"
442388	uc011lec.1
553137	uc003prp.2
57714	"uc002jye.1,uc002jyf.2,uc002jyg.1"
645851	uc010crq.1
652919	uc010yxg.1
653553	uc011lsc.1
728045	uc011cbi.1
728603	uc001jfy.3
728788	uc010mnx.1
729884	uc003hdz.3
8225	"uc004cpd.1,uc004cpe.1,uc011mgy.1"
90288	uc003emg.2
A1BG	"uc002qsd.3,uc002qsf.1"
A1CF	"uc001jjh.2,uc001jji.2,uc001jjj.2,uc001jjk.1,uc009xov.2,uc010qhn.1,uc010qho.1"
A2BP1	"uc002cyr.1,uc002cys.2,uc002cyt.2,uc002cyv.1,uc002cyw.2,uc002cyx.2,uc002cyy.2,uc010buf.1,uc010uxz.1,uc010uya.1,uc010uyb.1,uc010uyc.1"
A2LD1	"uc001voq.1,uc001vor.2,uc001vos.2"
A2ML1	"uc001quz.3,uc001qva.1,uc001qvb.1,uc010sgm.1"
A2M	"uc001qvj.1,uc001qvk.1,uc009zgk.1"
A4GALT	"uc003bdb.2,uc010gzd.2"
A4GNT	uc003ers.2
AAA1	"uc003tdz.2,uc003teb.1,uc003tek.3,uc010kwo.1,uc010kwp.1,uc010kwq.1,uc010kwx.1,uc010kwy.2,uc011kaq.1"
AAAS	"uc001scr.3,uc001scs.3"
AACSL	"uc003mjk.2,uc011dgk.1,uc011dgl.1"
AACS	"uc001uhc.2,uc001uhd.2,uc009zyg.2,uc009zyh.2,uc009zyi.2"
AADACL2	"uc003ezc.2,uc010hvn.2"
AADACL3	"uc001aug.1,uc009vnn.1"
AADACL4	uc001auf.2
AADAC	uc003eze.2
AADAT	"uc003isr.2,uc003iss.2,uc003ist.2"
AAGAB	"uc002aqk.3,uc002aql.2,uc010uju.1"
AAK1	"uc002sfp.2,uc010fdj.1,uc010fdk.2,uc010fdm.1,uc010yqm.1"
AAMP	"uc002vhj.2,uc002vhk.2,uc002vhl.2,uc010fvo.2"
AANAT	"uc002jro.2,uc010wte.1"
AARS2	uc010jza.1
AARSD1	"uc002icc.2,uc002icd.2,uc002ice.2,uc002icf.2,uc002icg.2,uc002ich.2,uc010cyu.1,uc010whg.1,uc010whh.1"
AARS	"uc002eyn.1,uc010vlu.1"
AASDHPPT	"uc001pjc.1,uc001pjd.1,uc010rvn.1"
AASDH	"uc003hbn.2,uc003hbo.2,uc003hbp.2,uc003hbq.1,uc010ihb.2,uc010ihc.2,uc011caa.1,uc011cab.1"
AASS	"uc003vka.2,uc003vkb.2,uc011knu.1,uc011knv.1,uc011knw.1"
AATF	"uc002hni.2,uc002hnj.2"
AATK	"uc010dhz.2,uc010dia.2"
ABAT	"uc002czc.3,uc002czd.3,uc010buh.2,uc010bui.2"
ABCA10	"uc002jhz.2,uc010dfa.1,uc010dfb.1,uc010dfc.1,uc010wqs.1,uc010wqt.1"
ABCA11P	"uc003gac.2,uc003gad.2,uc003gae.2,uc010ibd.1,uc011buv.1"
ABCA12	"uc002vev.2,uc002vew.2,uc010zjn.1"
ABCA13	"uc003top.2,uc003toq.2,uc003tos.1,uc010kyr.2,uc010kys.1,uc010kyt.1,uc010kyu.1"
ABCA17P	"uc002cqa.1,uc002cqb.1,uc002cqc.1"
ABCA1	"uc004bcl.2,uc004bcm.2"
ABCA2	"uc004ckl.1,uc004ckm.1,uc004ckn.1,uc004cko.1,uc010nca.2,uc011mel.1,uc011mem.1"
ABCA3	"uc002cpy.1,uc002cpz.1,uc010bsk.1,uc010bsl.1"
ABCA4	"uc001dqh.2,uc001dqi.1,uc009wdp.1,uc010otn.1"
ABCA5	"uc002jib.2,uc002jic.2,uc002jid.2,uc002jie.2,uc002jif.2,uc002jig.2,uc002jih.2,uc010dfe.2"
ABCA6	"uc002jhw.1,uc002jhx.1,uc002jhy.2"
ABCA7	"uc002lqw.3,uc002lqy.2,uc010dsa.2,uc010dsb.1,uc010dsc.2"
ABCA8	"uc002jhp.2,uc002jhq.2,uc002jhr.2,uc002jhs.2,uc002jht.2,uc010wqq.1,uc010wqr.1"
ABCA9	"uc002jhu.2,uc002jhv.2,uc010dez.2"
ABCB10	uc001htp.3
ABCB11	"uc002ueo.1,uc010zda.1,uc010zdb.1"
ABCB1	"uc003uiz.1,uc003uja.1,uc010lei.1,uc011khc.1"
ABCB4	"uc003uiv.1,uc003uiw.1,uc003uix.1,uc003uiy.2"
ABCB5	"uc003suv.3,uc003suw.3,uc003sux.1,uc010kuh.2,uc011jyi.1"
ABCB6	"uc002vkc.1,uc010fwe.1,uc010zku.1"
ABCB7	"uc004ebz.2,uc004eca.2,uc010nls.2,uc010nlt.2,uc011mqn.1"
ABCB8	"uc003wii.2,uc003wij.3,uc003wik.3,uc003wil.3,uc003wim.3,uc010lpw.1,uc010lpx.2,uc011kvd.1"
ABCB9	"uc001udm.3,uc001udo.3,uc001udp.2,uc001udq.2,uc001udr.2,uc009zxr.2,uc010tai.1,uc010taj.1"
ABCC10	"uc003ouy.1,uc003ouz.1,uc010jyo.1"
ABCC11	"uc002eff.1,uc002efg.1,uc002efh.1,uc010cbg.1,uc010vgk.1,uc010vgl.1"
